Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
GitHub for Data Scientists,"Version control is rapidly becoming an essential skill for data scientists. In this course, learn how to get the most out of GitHub, not just as a code repository, but also as a resource for finding software and connecting with an engaged community. Review foundational GitHub concepts, from how GitHub actually works, to key terminology, to how GitHub facilitates collaboration for  data science projects. Learn how to effectively use repositories in GitHub, including how to create and clone a repository and resolve common merge issues. Plus, learn how to create a strong data science portfolio with GitHub, contribute to open-source repositories, and more.",Course,2021-05-15 20:00 UTC,N/A,false,N/A,
Practice It: SQL Joins,"In this course, instructor Nikiya Simpson guides you through four main types of SQL joins, with plenty of opportunities to try what you’re learning. Nikiya starts with schema description SQL commands, plus table and column description SQL commands. She goes over inner joins, then dives into left joins, self joins, and multiple complex joins. Nikiya also covers right joins, full outer joins, and cross joins.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,2022-12-19 14:59 UTC,N/A,false,N/A,
Advanced SQL for Data Scientists,"Many data scientists know how to work with SQL—the industry-standard language for data analysis. But as data sizes grow, you need to know how to do more than simply read and write from a database. This course provides a more sophisticated approach to designing data models and optimizing queries in SQL. Instructor Dan Sullivan begins with the logical and physical design of tables—with particular focus on very large databases—and then presents a deep dive review of indexes, including specialized indexes and when to use them. The next section introduces query optimization and shows how to optimize basic, multi-join, and more complex queries. The course also covers SQL extensions, including user-defined functions and specialized data types. The techniques taught here enable more efficient analysis of large data sets using SQL, statistics, and custom business logic.",Course,2022-05-05 05:17 UTC,N/A,false,N/A,
C++ Essential Training (2020),"Learn C++ programming, starting with the basics. Widely used for both systems and applications development, C++ is available for virtually every operating system and has influenced and informed many derivative languages, including C# and Java. In this course, Bill Weinman guides you through the nuts and bolts of this essential language. He helps you set up your environment for coding and dissects the anatomy of a basic C++ program. He reviews the essentials—statements and expressions, variables, conditionals, operators, loops, and functions—and moves on to more complex topics, such as data structures, classes and objects, and templates. Along the way, Bill explains concepts such as recursion, type casting, and operator overloads, and dives into the powerful container classes and algorithms in Standard Template Library (STL). These exhaustive tutorials provide a solid C++ reference for both experienced programmers and those who are brand new to the language.",Course,2022-09-27 17:04 UTC,N/A,false,N/A,
How to Make Strategic Thinking a Habit (2020),"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><br>Working hard is important—but what's really critical is making sure you're working on the right things. That's what strategic thinking enables you to do. In this course, Dorie Clark shares frameworks and strategies to help you make strategic thinking a daily habit, so that you can make the best use of your time, energy, and effort at work. Discover how to set yourself up for success by carving out time for strategic thinking and adjusting your routine to spark more strategic thoughts. Get tactics for thinking strategically about the tasks and decisions that lie ahead of you, as well as how to revisit past decisions to glean valuable insights. Learn how to change the way you approach your to-do list and examine the root cause of problems to devise better solutions. Plus, Dorie explains how to consistently ask yourself the right questions, so that you don't get off track.",Course,2021-01-06 12:29 UTC,N/A,false,N/A,
After Effects 2020 New Features,"After Effects 2020 is here. Want to know how this new version will impact your motion graphics workflow? This course covers the latest upgrade, focused around the new, more powerful Content-Aware Fill. Discover how to remove an object, create a reference frame, and remove a logo on a smooth surface with this intelligent editing tool. Instructor Mark Christiansen provides practical tips to help you get the most from this forward-looking update.",Course,2020-11-02 04:20 UTC,N/A,false,N/A,
The Future of Workplace Learning,"HR leaders know that workplace learning is the difference between people—and the companies that employ them—staying relevant or becoming redundant. By providing current employees with the right tools and resources, you can bridge the skills gap, break the vicious hire-fire-hire cycle, and maintain a competent and cohesive workforce.<br><br>In this course, Amanda Nolen, advisor to global organizations on learning and education technology, helps you make L&D a real strategic partner and business driver. Find out what else to change beyond the technology, as well as how to get executive support, buy-in, and the investment you need to bring growth and transformation to your company.",Course,2021-03-15 02:54 UTC,N/A,false,N/A,
Dan Ariely on Making Decisions,"What happens in your brain when you make a decision? When should you use your intuition? How do you make a decision when the stakes are high, when someone will be negatively impacted, when there’s too much or too little information, or when you need to involve your whole team in the decision-making process? And how can you stop procrastinating making a decision? In this course, Dan Ariely—social scientist, beloved professor, and best-selling author of seven books—answers the most-pressing questions about decision-making, based on insights from his extensive research.",Course,2022-05-20 00:50 UTC,N/A,false,N/A,
"SAS Programming for R Users, Part 1","SAS is a hugely popular data analytics platform with millions of users. R is the language of big data. In this course, enhance your programming skill set by learning how to apply your understanding of R in the SAS environment. Instructor Jordan Bakerman kicks off the course with an introduction to SAS and SAS Studio. He covers several essential concepts, including how to write a program in SAS Studio, use tasks and snippets, and call R from SAS. He also walks through importing and reporting data, and creating new variables, functions, and data tables.<br><br>Note: You can visit the <a href=""https://www.sas.com/en_us/software/on-demand-for-academics.html"" target=""_blank"">SAS site</a> to obtain a copy of the software, and use the company's online data sets to do the course exercises.",Course,2021-02-18 07:35 UTC,N/A,false,N/A,
Drawing Foundations: Figure,"Learn the foundations of figure drawing: techniques for bringing the human form to life on paper. Artist and teacher Amy Wynne breaks down a classical approach to figure drawing into simple steps: capturing gesture and motion, mapping out structure and form, understanding the common ""landmarks"" of the body, drawing proportionally, and adding volume with shapes and shadows. Filmed on premise in a professional art studio, this course shows how to work with live models and different drawing materials. It's ideal for beginners who are just learning to draw the human figure as well as experienced artists who want to brush up their drawing skills. Follow along with Amy's tutorials and then use the worksheets and sample poses in the exercise files to practice figure drawing in your own time.",Course,2020-03-23 13:37 UTC,N/A,false,N/A,
Learning PCB Design with OrCAD,"Designing printed circuit boards (PCBs)—which help to power nearly all electronic devices—requires both sound reasoning and creative thinking. In this course, Kirsch Mackey steps through this process, demonstrating how to design and output a PCB using OrCAD (also known as Allegro), the industry-leading software used by many of the world's top electronic and consumer device manufacturers. Kirsch steps through how to work with both OrCAD Capture and PCB Editor to bring your project to the finish line, helping you become familiar with the electronic board development workflow along the way. Learn how to create electronic schematics, lay out your circuits on printed circuit boards, and generate manufacturing files and PCB documentation.",Course,2022-10-02 23:30 UTC,N/A,false,N/A,
Side Hustle Strategies for Data Science and Analytics Experts,"The most common way to start a career in data science is to master the technical aspects of the job and then apply to work at a large company. But many of the most successful data scientists are also entrepreneurs that work for themselves. In this course, discover how to diversify your career prospects with a side hustle. Instructor Keith McCormick shows how to leverage your data science and analytics skills in a variety of ways—from writing books to delivering talks at conferences.<br/><br/>Keith steps through how to jump-start your side hustle in writing by serving as a technical reviewer for technical books. He explains how to use your data science and analytics expertise to become a paid presenter at conferences. Plus, he covers how to build your reputation as a consultant, become a part-time instructor at a university, and more. Along the way, Keith shares tips and strategies for making the most of these new ventures once they've become part of your professional portfolio.",Course,2022-05-12 18:11 UTC,N/A,false,N/A,
"The Data Science of Healthcare, Medicine, and Public Health","Data analytics plays an increasingly pivotal role in how we go about managing our healthcare systems and personal health. This nontechnical course explores a variety of ways to apply data science to medicine and public health. Data scientist Barton Poulson discusses the ways that dramatically increased quantities of data—from genetic testing, genealogy, brain scans, and other sources—are changing the theory and practice of healthcare. As he looks over key data sources, Barton explores the different methods for analyzing this wealth of data, including machine learning and predictive modeling. He also details the extraordinary effect of the COVID-19 pandemic on the ways data is used in healthcare, and details how data science has changed the areas of patient care, self-care, and medical insurance. Barton also looks at some challenges the increased use of data presents, from ethical questions to logistical implementations, and how data science can help identify unanticipated problems.",Course,2023-02-05 17:05 UTC,N/A,false,N/A,
Advanced C Programming: Optimize Performance and Efficiency,"Once you've mastered the basics of programming in C, you can concentrate on writing more efficient, more functional code. In this course, Dan Gookin offers some tips to help you extend your C programming skills. Learn how to read and write main function arguments, build more useful variables, and work with arrays and structures. Plus, get tips on generating pointers, and take the practice challenges to test your learning along the way.",Course,2018-09-30 16:44 UTC,N/A,false,N/A,
Python for Students,"There is no better time to learn Python than when you are young. Python is a powerful language for automation, game development, and web programming, and a great choice if you’re just starting to learn how to write code. The skills you learn in Python can translate C++, Ruby, and JavaScript. In this course—designed specifically for high-school and college-age students—you can learn how to use Python at an introductory level. Explore variables and functions, calculations, if-else statements, loops, and lists, and then build a complete Python project. Plus, find out where to go to learn more and how to join the Python community.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""25%"" width=""25%"">",Course,2021-03-08 02:33 UTC,N/A,false,N/A,
Nail Your C++ Interview,"Applying for C++ programming jobs? Find out what questions to expect in your developer interview and how to answer them to demonstrate mastery of key concepts. Erin Colvin explores the kinds of questions you can anticipate in a typical interview, including topics such as the advantages of object-oriented programming and a review of the inner workings of several core data types. Dive into the nuances of how char values are stored in strings, learn how to find elements in an array, and discover how to use abstract data types such as linked lists, stacks, and queues to solve challenges. Plus, learn how to spot and explain the differences between C and C++ and answer technical questions related to classes. Along the way, Erin offers candid career advice based on her years of experience working as a developer, certified ethical hacker, and computer science instructor.",Course,2020-05-19 10:55 UTC,N/A,false,N/A,
